#,RA,DEC,PMRA,PMDEC,PLX,PLX_ERR,BP_RP,RV,L,B,DIST_1000,"(u,v,w)"
230,251.58997660680922,-50.63863518231249,-49.35844067323052,-84.67277009494555,13.398257319108815,0.017849503085017204,2.16555118560791,12.247364103816984,335.8231131286568,-3.4150796654131903,74.6368272671134,"(-3.1590600341972053, -36.00200651223597, -6.808749463821472)"
1669,250.7629100535151,-51.606571251985955,5.946151060742354,-40.65596429190273,10.368954647575999,0.040011871606111526,2.714512825012207,6.850855164128621,334.7485107506707,-3.6516332036850554,96.44447105731757,"(0.1331002091941933, -13.619918191449106, -14.639098138442446)"
1674,250.77290213984702,-51.59898526057091,6.066630513795433,-40.46666568311353,10.326265936660176,0.02096434123814106,2.1910390853881836,6.960290492481462,334.75832788269344,-3.6513524976982374,96.84118639755468,"(0.2530485368781248, -13.62044587879748, -14.687809128171361)"
47218,159.06602636743943,-61.84331965705746,-29.093617593615313,-50.447391393311015,13.068723646170975,0.023742441087961197,2.530829429626465,27.046455633847373,287.6937586677199,-3.038470866382779,76.51905233228717,"(7.778402109635055, -24.692743902459135, -22.52787336470945)"
47979,265.6535886442284,-39.43267313025808,-17.200045366846588,-32.0517458219001,12.018472450591176,0.03996237739920616,2.391315460205078,-36.9591178894043,350.7117908634402,-4.950211659390561,83.20701298508482,"(-38.7189106486706, -8.183465877350784, 2.3904191128579293)"
49515,128.08459561332987,-36.99803284210717,-32.54076220334839,58.0419197501579,10.848546487230154,0.01800411567091942,2.824298858642578,9.986927727314296,256.64656298235644,1.6341871932707384,92.1787315760838,"(-30.357491871922967, -2.9492617147624625, 3.862032372563349)"
49556,128.56426612168502,-35.81531797651161,-3.4616563552845196,-37.194744839902185,14.024834619412525,0.011174250394105911,2.000094413757324,-5.373372467388251,255.9245426294443,2.64772709633034,71.30217585373089,"(10.323367154641229, 2.543674995568754, -8.67503377237654)"
49562,127.9435410668353,-34.92659652769995,-133.06882399411487,-18.80874660711448,14.156612343808225,0.03129226341843605,2.78518009185791,82.55998176370133,254.90772769525543,2.7677171056706844,70.6390344517871,"(-42.47053372662866, -75.94078326946925, -35.64603895766572)"
50514,128.95717951649516,-35.833973793666445,-12.59246808480765,-53.09313356909679,10.09644806728001,0.012159325182437897,1.7564449310302734,17.343987200333096,256.1302346131863,2.8919198815949527,99.04500577408726,"(11.535366913040013, -21.713068947043215, -18.77945227170056)"
50711,159.85887295863662,-61.794715578274335,-220.64172359718873,69.17316222804101,19.21471604975078,0.01733360067009926,2.8922853469848633,39.10855484008789,287.99659829428487,-2.8124526063449133,52.04352656753031,"(-41.248741023330524, -53.87754135924385, -13.401771224872368)"
51923,127.84834957310193,-36.70417116022512,72.98656163326264,-74.85991618956544,17.91308437765255,0.011595390737056732,1.3420028686523438,47.653018951416016,256.29766093748276,1.655623312221815,55.82516073491206,"(15.357417612769567, -52.657263910617765, 5.263705914071977)"
51924,127.85867061354787,-36.693819348258685,74.84702690378009,-78.15722994773654,17.929947703923595,0.02115725912153721,1.1327710151672363,47.491729736328125,256.2941929310062,1.6684148368787193,55.77276206543047,"(16.332960879935804, -52.7334615749503, 5.145165839481809)"
52497,126.66127710705655,-35.73647663005803,29.61167594672056,0.4778186995029596,11.779794633234955,0.025865035131573677,2.5275163650512695,4.326887877921449,254.9520441338271,1.4455219333290519,84.8919072301868,"(5.465676488105249, -5.692059677160029, 9.924215519185722)"
56818,127.54855101526837,-36.53470604194178,-116.39708492470189,109.71699542720526,11.257167358702924,0.026106487959623337,2.5888776779174805,12.599826870983641,256.0188487226408,1.561057808462284,88.83320706037523,"(-67.35609965175601, 3.4399740323603964, -12.140011685361632)"
56873,265.42337544074087,-39.591462488344206,60.80155037135482,-6.401551055975385,15.215266321941444,0.021419918164610863,2.384571075439453,7.626624828895023,350.48277521087545,-4.881689155020304,65.72371540308097,"(7.409769306617523, 7.084621305844214, -17.773566190145644)"
57245,125.47683979889241,-36.59583324498728,61.31183396191121,-122.69071035435798,10.22149539560819,0.02341509982943535,2.473111152648926,22.02156772880715,255.10509246274228,0.16906143592231118,97.83401971604633,"(55.176274302377756, -37.49089162541013, -9.01608742083232)"
57336,128.79643349014285,-35.476508354741604,-171.26506590637572,-13.15257562027462,12.567215938887033,0.02090492658317089,2.5560150146484375,60.2748055851704,255.76525554140736,3.0013883349935875,79.57254167226324,"(-49.10251525536286, -52.599392360115615, -51.511902348825785)"
58297,125.36614868585279,-36.51266210852721,-159.28483135897247,24.137242009509244,19.080135407634113,0.014214998111128807,1.7144079208374023,19.020362854003906,254.9860823850966,0.14336221373104902,52.41058617477279,"(-31.465035461469018, -11.328776266115252, -29.077218553990598)"
58611,159.6472193239102,-61.90322222005279,-312.1203568435415,365.6462230791786,22.184171781817245,0.020105279982089996,2.9494524002075195,-7.451111477896708,287.9621362927541,-2.9558421878090613,45.07725668267426,"(-93.38220152305769, -24.382828992319695, 35.973092672645166)"
60327,127.26891735656807,-36.33619086887073,-3.464084130026613,95.71573816251151,13.996438789936752,0.027485154569149017,2.628241539001465,-5.87234508223851,255.72599717991295,1.4953326563021059,71.44727684188013,"(-24.572864035192406, 12.794455686772327, 17.8685359640019)"
60546,125.02255889004495,-35.96013448567492,-43.69563914621036,143.60235802701357,14.17089051049747,0.017384404316544533,2.558868408203125,36.401690402872156,254.3738927665652,0.228898689049588,70.56740033364406,"(-55.891182834368124, -22.103016314619083, 15.298706350374083)"
60635,158.25386065853925,-62.02929996567396,-211.36396174813245,63.72250678744297,15.363911064380511,0.02968687377870083,3.0068740844726562,57.99659138669312,287.4558980415731,-3.390855761416235,65.08806384395882,"(-46.06328381801826, -74.17852950761986, -19.468319607580476)"
63587,128.71740383981808,-36.157429574558186,-11.121891751504876,-100.78804457503843,10.99866982903383,0.011420533992350101,2.1114683151245117,27.806463145403555,256.27332858535357,2.5428827529365323,90.92027253203128,"(24.14088587650457, -35.854099731999945, -28.5468842946497)"
64390,126.7320798444961,-36.1000915494572,-14.969705070686068,75.9827185654168,44.731981263739065,0.018489770591259003,2.789041519165039,-10.264982999180573,255.2815118725509,1.2811559441081488,22.355377732822035,"(-4.604403546013469, 11.898383589838927, 3.1549266133731346)"
